trade date	scheme	security	isin	secname	deal id	trade type	units	price iso	txn net	txn gross	settle date
20251103	771	012154201	INE027H01010	EQ - MAX HEALTHCARE INSTITUTE LTD	CF2500117710020859	BUY	35	INR	1146.2743	1147.649729	20251104
20251103	771	012158201	INE758T01015	EQ - ETERNAL LIMITED	CF2500117710020860	BUY	117	INR	322.409	322.795838	20251104
20251103	771	012169501	INE758E01017	EQ - JIO FINANCIAL SERVICES LTD	CF2500117710020861	BUY	129	INR	306.8779	307.246117	20251104
20251103	772	010207401	INE115A01026	EQ - LIC HOUSING FINANCE LTD.	CF2500117720003893	SELL	23	INR	576.0522	575.360896	20251104
20251103	772	010300201	INE012A01025	EQ - ACC LTD	CF2500117720003894	SELL	5	INR	1867.18	1864.94	20251104
20251103	772	010302301	INE079A01024	EQ - AMBUJA CEMENTS LTD.	CF2500117720003895	SELL	44	INR	578.025	577.331364	20251104
20251103	772	010303201	INE070A01015	EQ - SHREE CEMENT LTD.	CF2500117720003896	SELL	1	INR	27990	27956.41	20251104
20251103	772	010450201	INE463A01038	EQ - BERGER PAINTS INDIA LTD.	CF2500117720003897	SELL	21	INR	538.7024	538.05621	20251104
20251103	772	010451001	INE021A01026	EQ - ASIAN PAINTS (INDIA) LTD.	CF2500117720003898	SELL	9	INR	2510.5444	2507.532178	20251104
20251103	772	010451301	INE195A01028	EQ - SUPREME INDUSTRIES LTD.	CF2500117720003899	SELL	5	INR	3927.18	3922.468	20251104
20251103	772	010600401	INE271C01023	EQ - DLF LTD.	CF2500117720003900	SELL	33	INR	778.7697	777.835155	20251104
20251103	772	010614001	INE226A01021	EQ - VOLTAS LTD.	CF2500117720003901	SELL	17	INR	1371.5353	1369.889418	20251104
20251103	772	010618701	INE472A01039	EQ - BLUE STAR LIMITED	CF2500117720003878	SELL	10	INR	1925.72	1923.409	20251104
20251103	772	011700501	INE047A01021	EQ - GRASIM INDUSTRIES LTD.	CF2500117720003879	SELL	9	INR	2899.4222	2895.943311	20251104
20251103	772	012047601	INE481G01011	EQ - ULTRATECH CEMENT LTD.	CF2500117720003880	SELL	2	INR	11959	11944.65	20251104
20251103	772	012050901	INE823G01014	EQ - J.K.CEMENT LTD	CF2500117720003881	SELL	3	INR	5899.6667	5892.5867	20251104
20251103	772	012059601	INE878B01027	EQ - KEI INDUSTRIES LTD.	CF2500117720003882	SELL	4	INR	3994.7	3989.9075	20251104
20251103	772	012066801	INE176B01034	EQ - HAVELLS INDIA LTD.	CF2500117720003883	SELL	16	INR	1498.1125	1496.315	20251104
20251103	772	012087701	INE211B01039	EQ - PHOENIX MILLS LTD	CF2500117720003884	SELL	14	INR	1746.9857	1744.889271	20251104
20251103	772	012107001	INE093I01010	EQ - OBEROI REALTY LIMITED	CF2500117720003885	SELL	9	INR	1807.8889	1805.720011	20251104
20251103	772	012107201	INE811K01011	EQ - PRESTIGE ESTATES PROJECTS LTD	CF2500117720003886	SELL	12	INR	1784.5917	1782.450033	20251104
20251103	772	012111601	INE484J01027	EQ - GODREJ PROPERTIES LTD.	CF2500117720003877	SELL	12	INR	2310.5833	2307.8108	20251104
20251103	772	012125001	INE006I01046	EQ - ASTRAL LTD.	CF2500117720003887	SELL	10	INR	1482.06	1480.282	20251104
20251103	772	012140701	INE377Y01014	EQ - BAJAJ HOUSING FINANCE LIMITED	CF2500117720003888	SELL	69	INR	109.8796	109.747861	20251104
