valuation date,portfolio code,portfolio name,asset name,issuer,security,isin no,secname,quantity,market price,cost price,mktval,per,nav
20251031,190,UTI - Dividend Yield Fund,Equity Shares,Metropolis Healthcare Ltd,012151801,INE112L01020,EQ - METROPOLIS HEALTHCARE LTD,"235,000","1,970.4","1,825.9709544681","463,044,000",1.19,"39,040,365,810.82"
20251031,190,UTI - Dividend Yield Fund,Equity Shares,Mphasis Ltd,012009901,INE356A01018,EQ - MPHASIS LTD,"235,000","2,764.4",900.0467445957,"649,634,000",1.66,"39,040,365,810.82"
20251031,190,UTI - Dividend Yield Fund,Equity Shares,Ntpc Ltd.,010501501,INE733E01010,EQ - NTPC LTD.,"2,350,000",336.95,131.1736167957,"791,832,500",2.03,"39,040,365,810.82"
20251031,190,UTI - Dividend Yield Fund,Equity Shares,Oil & Natural Gas Corporation Ltd.,010433001,INE213A01029,EQ - OIL & NATURAL GAS CORPORATION,"2,700,000",255.37,166.1457341333,"689,499,000",1.77,"39,040,365,810.82"
20251031,190,UTI - Dividend Yield Fund,Equity Shares,Oil India Ltd.,012101601,INE274J01014,EQ - OIL INDIA LTD.,"775,000",433.35,200.886385871,"335,846,250",0.86,"39,040,365,810.82"
20251031,190,UTI - Dividend Yield Fund,Equity Shares,Pfizer Limited,010440701,INE182A01018,EQ - PFIZER LIMITED,"100,000","5,209","4,315.157763","520,900,000",1.33,"39,040,365,810.82"
20251031,190,UTI - Dividend Yield Fund,Equity Shares,Power Grid Corporation Of India Ltd,010503801,INE752E01010,EQ - POWER GRID CORPORATION OF INDI,"3,200,000",288.15,287.8890107063,"922,080,000",2.36,"39,040,365,810.82"
20251031,190,UTI - Dividend Yield Fund,Equity Shares,Procter & Gamble Hygiene & Hel Care Ltd.,010440901,INE179A01014,EQ - PROCTER & GAMBLE HYGIENE & HEL,"24,700","13,351","1,968.3464461538","329,769,700",0.84,"39,040,365,810.82"
20251031,190,UTI - Dividend Yield Fund,Equity Shares,Sanofi Consumer Healthcare India Ltd,012173801,INE0UOS01011,EQ - SANOFI CONSUMER HEALTHCARE INDIA LTD,"42,113","4,842.6","1,885.3864495524","203,936,413.8",0.52,"39,040,365,810.82"
20251031,190,UTI - Dividend Yield Fund,Equity Shares,Skf India (Industrial) Limited,012185101,DUM640A01023,EQ - SKF INDIA (INDUSTRIAL) LTD,"145,000","2,708.4","2,646.2773825517","392,718,000",1.01,"39,040,365,810.82"
20251031,190,UTI - Dividend Yield Fund,Equity Shares,Skf India Ltd.,010600901,INE640A01023,EQ - SKF INDIA LTD.,"141,116","2,140.8","2,247.2448954052","302,101,132.8",0.77,"39,040,365,810.82"
20251031,190,UTI - Dividend Yield Fund,Equity Shares,State Bank Of India,010200901,INE062A01020,EQ - STATE BANK OF INDIA,"1,400,000",937,610.5648652,"1,311,800,000",3.36,"39,040,365,810.82"
20251031,190,UTI - Dividend Yield Fund,Equity Shares,Tata Consultancy Services Ltd.,012049201,INE467B01029,EQ - TATA CONSULTANCY SERVICES LTD.,"275,000","3,058","1,069.3301830545","840,950,000",2.15,"39,040,365,810.82"
20251031,190,UTI - Dividend Yield Fund,Equity Shares,Tata Steel Ltd.,010802201,INE081A01020,EQ - TATA STEEL LTD.,"3,300,000",182.84,57.4487433121,"603,372,000",1.55,"39,040,365,810.82"
